ranking;type;average_mtow;total_movements;compared_to_2020_%
1;Boeing 777-200;344;6116;-0,07
2;Boeing 747-400;403;4877;-0,05
3;Boeing 747-800;448;2302;0,16
4;Boeing 777-300;344;2161;-0,14
5;Airbus 350-900;277;1094;0,45
6;Boeing 757-200;104;938;-0,06
7;Boeing 767-300;187;927;0,17
8;Airbus 330-200F;233;822;0,37
9;Airbus 330-300;234;683;0,57
10;Boeing 787-10;254;611;-0,06
